SALMO,COMPOSITOR,HARMONIZAÇÃO,METRIFICAÇÃO,MODO,MÉTRICA,ORIGEM/MELODIA,TIPO,VÍDEO
96A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2011",Dórico,8 8 9. 8 8 9,"Saltério de Genebra, 1542",Genebrino,https://youtu.be/mAMiY_vFle0?feature=shared
97F,,,,,,,Inexistente,
98.1-4A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2014 (rev. 2022)",Hipojônio,9 8. 9 8. 9 8. 9 8,"Saltério de Genebra, 1543",Genebrino,https://youtu.be/TW5pYQe5q_8?feature=shared
99B,"Chester G. Allen, 1869",,"Comissão Brasileira de Salmodia, 2020",,12 10. 12 10. 11 10. 11 10,Joyful Song,Melodia harmônica,
99A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2020",Jônio,10 10. 10 12,"Saltério de Genebra, 1562",Genebrino,
100B,"Louis Bourgeois, 1551","Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2020",,8. 8. 8. 8,Old Hundredth,Melodia harmônica,https://youtu.be/bFQbvEk9__A?si=vaSlvWiQHRXrEK7w
101B,"William James Kirkpatrick, 1882",,"Comissão Brasileira de Salmodia, 2021",,8 7. 8 7. 8 7. 8 7,Trust in Jesus,Melodia harmônica,
102F,,,,,,,Inexistente,
103B,"William James Kirkpatrick, 1882",,"Comissão Brasileira de Salmodia, 2023",,9 8. 9 8. 6 8. 6 8,Redeemed,Melodia harmônica,https://youtu.be/Xgw_rlLOrNo?si=XDoA8I0AQJOHMinK
104F,,,,,,,Inexistente,
105F,,,,,,,Inexistente,
106F,,,,,,,Inexistente,
107F,,,,,,,Inexistente,
108F,,,,,,,Inexistente,
109F,,,,,,,Inexistente,
110A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2021",Hipoeólio,11 10. 11 10,"Saltério de Genebra, 1543",Genebrino,https://youtu.be/rYjWLX0QzqE?feature=shared
111F,,,,,,,Inexistente,
112B,"George Frederick Handel, 1748",,"Comissão Brasileira de Salmodia, 2022",,5 5. 6 5. 6 5. 6 5. 5 5. 5 5,Judas Maccabeus,Melodia harmônica,https://youtu.be/-lsjBb5jZz4?feature=shared
112A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2011",Dórico,9 9. 9 9. 9 9,"Saltério de Genebra, 1562",Genebrino,
113B,"John Antes, 1790","John Bernard Wilkes, 1861","Comissão Brasileira de Salmodia, 2010",,7 7. 7 7,Monkland,Melodia harmônica,
113A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2010",Hipomixolídico,8 8 9. 8 8 9,"Saltério de Genebra, 1542",Genebrino,https://youtu.be/MBDv9dZfv3I?si=Y-hZWF9Zwaxpl32-
114B,"William Gardiner's Sacred Melodies, 1815",,"Comissão Brasileira de Salmodia, 2022",,9 9. 10 10,Germany,Melodia harmônica,
114A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2019",Dórico,10 10 7. 10 10 7,"Saltério de Genebra, 1539",Genebrino,
115B,,,,,,,Melodia harmônica,https://youtu.be/4V1GV_26q10?si=Ufu6zRaqCVGCA-q3
116B,"Henry Thomas Smart, 1868",,"Comissão Brasileira de Salmodia, 2020 (rev. 2023)",,11. 10. 11. 10. 9. 11,Pilgrims,Melodia harmônica,
116A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2020",Mixolídico,10 11. 11 10,"Saltério de Genebra, 1562",Genebrino,
117B,"Geistliche Kirchengesange, Cologne, 1623","Ralph Vaughan Williams, 1906","Comissão Brasileira de Salmodia, 2010",,8. 8. 8. 8. 8. 8. 8,Last uns erfreunen,Melodia harmônica,https://youtu.be/PGPd1XxQY0k?feature=shared
117A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2011",Hipomixolídico,8 8. 8 8. 8 8,"Saltério de Genebra, 1551",Genebrino,
118A,,,,,,,Genebrino,https://youtu.be/UO6N3BbQans?si=8qmuX2HvbWNpHavb
119.1-8B,,,,,,,Melodia harmônica,https://youtu.be/uk_U9Uzib-U?si=1yVwjkZWGzappgVh
